id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
3420,Fashion Forward,Episode 40,26.91,Lifestyle,29.62,Sunday,Night,56.84,2.0,Neutral,11.87166
3421,Sports Central,Episode 38,,Sports,45.42,Monday,Night,7.77,1.0,Neutral,3.5496
3422,Current Affairs,Episode 25,13.95,News,97.52,Sunday,Night,51.85,2.0,Neutral,7.66646
3423,Mind & Body,Episode 49,93.43,Health,84.25,Monday,Afternoon,64.59,0.0,Negative,61.99136
3424,Funny Folks,Episode 48,58.89,Comedy,94.41,Friday,Afternoon,24.64,1.0,Positive,37.42451
3425,Athlete's Arena,Episode 36,84.12,Sports,70.46,Thursday,Morning,6.09,3.0,Positive,36.17756
3426,Style Guide,Episode 96,119.54,Lifestyle,80.54,Saturday,Afternoon,27.37,2.0,Positive,65.04137
3427,Athlete's Arena,Episode 13,92.74,Sports,49.24,Sunday,Afternoon,,3.0,Neutral,39.24267
3428,Health Hour,Episode 27,36.44,Health,45.79,Saturday,Morning,,1.0,Negative,23.41111
3429,Humor Hub,Episode 11,19.14,Comedy,54.33,Saturday,Morning,,1.0,Positive,17.62899
3430,Criminal Minds,Episode 64,35.03,True Crime,33.46,Saturday,Afternoon,92.45,2.0,Positive,21.82725
3431,Tech Trends,Episode 7,47.11,Technology,28.95,Tuesday,Evening,,0.0,Positive,38.06404
3432,Sports Weekly,Episode 58,68.29,Sports,67.13,Thursday,Night,28.49,3.0,Negative,45.47404
3433,Sports Weekly,Episode 26,71.85,Sports,79.36,Monday,Morning,,2.0,Negative,46.88105
3434,Sound Waves,Episode 34,26.82,Music,66.76,Saturday,Afternoon,56.98,3.0,Positive,11.61
3435,Brain Boost,Episode 1,82.16,Education,39.39,Wednesday,Afternoon,61.54,2.0,Negative,71.47613
3436,Athlete's Arena,Episode 14,35.15,Sports,84.22,Tuesday,Night,66.48,1.0,Neutral,19.18636
3437,Criminal Minds,Episode 43,85.59,True Crime,60.92,Thursday,Night,45.75,2.0,Positive,46.13325
3438,Money Matters,Episode 17,,Business,84.96,Tuesday,Night,,3.0,Neutral,47.04966
3439,World Watch,Episode 24,109.47,News,24.5,Friday,Night,10.5,3.0,Neutral,81.25075
3440,Fashion Forward,Episode 70,78.89,Lifestyle,95.83,Wednesday,Morning,60.48,2.0,Positive,64.99637
3441,Fashion Forward,Episode 88,34.82,Lifestyle,58.47,Friday,Evening,84.82,1.0,Negative,20.59
3442,Music Matters,Episode 91,59.48,Music,29.66,Tuesday,Evening,19.56,2.0,Positive,36.28488
3443,Money Matters,Episode 92,80.9,Business,72.1,Friday,Afternoon,17.96,0.0,Positive,67.09943
3444,Life Lessons,Episode 79,13.0,Lifestyle,38.12,Saturday,Evening,84.73,3.0,Negative,0.77365
3445,Sports Weekly,Episode 12,73.61,Sports,31.55,Thursday,Afternoon,3.33,3.0,Negative,53.79071
3446,Tune Time,Episode 95,,Music,34.38,Thursday,Night,91.17,0.0,Positive,87.60061
3447,Gadget Geek,Episode 58,27.9,Technology,31.92,Saturday,Evening,,2.0,Positive,25.63312
3448,Home & Living,Episode 48,13.000003,Lifestyle,42.47,Sunday,Night,96.87,1.0,Neutral,13.0
3449,Life Lessons,Episode 36,93.01,Lifestyle,60.04,Monday,Morning,60.04,3.0,Positive,48.56839
3450,Mystery Matters,Episode 43,70.04,True Crime,75.92,Monday,Afternoon,,2.0,Negative,27.85099
3451,Funny Folks,Episode 62,62.07,Comedy,95.7,Thursday,Afternoon,19.27,2.0,Positive,49.65659
3452,Humor Hub,Episode 90,48.87,Comedy,66.94,Saturday,Evening,32.07,1.0,Neutral,31.14462
3453,Study Sessions,Episode 20,105.23,Education,21.88,Wednesday,Night,65.51,2.0,Negative,70.8788
3454,Life Lessons,Episode 90,85.36,Lifestyle,23.22,Sunday,Afternoon,16.58,2.0,Neutral,64.63513
3455,Crime Chronicles,Episode 94,111.24,True Crime,37.72,Friday,Morning,47.68,1.0,Negative,88.24452
3456,Criminal Minds,Episode 12,90.16,True Crime,88.21,Monday,Morning,12.76,1.0,Positive,65.02965
3457,Criminal Minds,Episode 52,48.02,True Crime,69.61,Thursday,Afternoon,66.89,3.0,Positive,41.04552
3458,Tech Trends,Episode 53,52.74,Technology,39.67,Friday,Morning,78.59,0.0,Positive,38.604
3459,Music Matters,Episode 96,91.07,Music,34.44,Tuesday,Evening,34.24,0.0,Negative,66.99679
3460,Mind & Body,Episode 81,112.29,Health,82.86,Wednesday,Evening,15.27,1.0,Positive,110.29738
3461,Sports Weekly,Episode 75,108.22,Sports,93.35,Friday,Afternoon,,2.0,Positive,96.49259
3462,Athlete's Arena,Episode 91,10.05,Sports,91.98,Friday,Evening,76.81,1.0,Neutral,9.16066
3463,Sound Waves,Episode 98,49.84,Music,84.69,Wednesday,Night,,2.0,Negative,40.43074
3464,Global News,Episode 72,47.99,News,23.17,Friday,Afternoon,66.39,2.0,Negative,33.77996
3465,Humor Hub,Episode 57,72.29,Comedy,81.28,Saturday,Night,,2.0,Negative,51.63756
3466,Tech Talks,Episode 33,94.03,Technology,45.89,Monday,Night,27.34,1.0,Neutral,90.18656
3467,Laugh Line,Episode 74,40.3,Comedy,24.99,Thursday,Evening,9.02,2.0,Positive,30.32979
3468,Learning Lab,Episode 41,91.49,Education,61.28,Sunday,Afternoon,,0.0,Neutral,58.11653
3469,Detective Diaries,Episode 99,13.46,True Crime,73.25,Sunday,Evening,79.23,1.0,Negative,9.44734
3470,Business Briefs,Episode 56,89.52,Business,88.56,Sunday,Morning,,0.0,Negative,67.06532
3471,Laugh Line,Episode 48,58.4,Comedy,94.1,Friday,Afternoon,29.27,1.0,Negative,36.81129
3472,Lifestyle Lounge,Episode 49,87.87,Lifestyle,58.2,Monday,Night,74.81,1.0,Neutral,40.26482
3473,Innovators,Episode 50,,Technology,77.36,Saturday,Evening,,1.0,Negative,69.61645
3474,Style Guide,Episode 88,55.54,Lifestyle,26.66,Monday,Night,56.15,0.0,Neutral,48.53922
3475,Business Insights,Episode 9,71.92,Business,31.57,Monday,Night,68.9,3.0,Negative,36.01921
3476,Detective Diaries,Episode 35,99.53,True Crime,64.42,Tuesday,Morning,38.66,3.0,Negative,62.37219
3477,Criminal Minds,Episode 98,7.69,True Crime,59.9,Monday,Morning,95.27,1.0,Positive,1.54264
3478,Market Masters,Episode 27,83.31,Business,82.98,Monday,Afternoon,,1.0,Positive,73.55355
3479,Finance Focus,Episode 77,69.05,Business,69.68,Saturday,Afternoon,11.68,1.0,Neutral,36.93569
3480,World Watch,Episode 36,35.81,News,54.21,Saturday,Evening,83.44,3.0,Negative,20.18539
3481,Sports Central,Episode 43,36.77,Sports,34.47,Monday,Night,72.81,2.0,Neutral,30.83615
3482,Business Insights,Episode 28,49.14,Business,89.62,Wednesday,Morning,14.76,1.0,Negative,38.4888
3483,Innovators,Episode 31,91.89,Technology,41.55,Tuesday,Night,22.02,3.0,Negative,48.56839
3484,Daily Digest,Episode 78,,News,31.78,Saturday,Night,,1.0,Negative,57.86
3485,Tech Trends,Episode 92,6.02,Technology,82.02,Thursday,Night,35.51,1.0,Negative,0.40697
3486,Business Insights,Episode 11,7.31,Business,31.24,Saturday,Morning,26.53,1.0,Positive,0.0
3487,Sport Spot,Episode 68,,Sports,35.56,Monday,Night,52.77,2.0,Negative,82.19025
3488,Style Guide,Episode 85,111.86,Lifestyle,38.28,Monday,Night,9.77,3.0,Neutral,51.59225
3489,Health Hour,Episode 57,36.57,Health,26.76,Monday,Night,52.56,3.0,Negative,29.93005
3490,Athlete's Arena,Episode 22,,Sports,64.63,Wednesday,Evening,24.38,0.0,Positive,100.6643
3491,Humor Hub,Episode 60,56.0,Comedy,60.61,Thursday,Afternoon,59.61,2.0,Negative,47.54352
3492,True Crime Stories,Episode 29,113.88,True Crime,26.22,Sunday,Evening,68.53,0.0,Negative,57.82983
3493,Health Hour,Episode 56,101.7,Health,71.79,Monday,Night,3.81,1.0,Positive,77.75681
3494,Melody Mix,Episode 83,38.76,Music,36.2,Monday,Morning,3.81,1.0,Positive,27.71184
3495,Study Sessions,Episode 33,28.39,Education,30.34,Sunday,Night,24.3,3.0,Positive,15.57869
3496,True Crime Stories,Episode 30,30.71,True Crime,27.71,Thursday,Evening,71.71,1.0,Neutral,15.49
3497,Home & Living,Episode 9,18.05,Lifestyle,20.06,Sunday,Night,20.06,3.0,Neutral,13.18517
3498,Sports Weekly,Episode 50,91.22,Sports,28.58,Monday,Evening,52.45,1.0,Negative,66.24349
3499,Business Briefs,Episode 59,101.94,Business,88.03,Saturday,Night,9.01,2.0,Neutral,75.79284
3500,News Roundup,Episode 95,8.14,News,91.05,Wednesday,Evening,,2.0,Positive,3.53643
3501,Funny Folks,Episode 99,111.24,Comedy,66.0,Saturday,Afternoon,45.74,1.0,Neutral,107.30249
3502,Home & Living,Episode 14,106.61,Lifestyle,32.31,Tuesday,Afternoon,56.98,1.0,Positive,67.56573
3503,Fashion Forward,Episode 79,109.41,Lifestyle,29.04,Sunday,Night,58.69,1.0,Negative,74.86042
3504,Funny Folks,Episode 66,50.59,Comedy,98.57,Monday,Morning,57.61,0.0,Positive,24.7315
3505,Sport Spot,Episode 72,86.38,Sports,78.58,Wednesday,Afternoon,63.62,0.0,Positive,82.28051
3506,Tune Time,Episode 90,26.76,Music,80.77,Wednesday,Evening,65.92,3.0,Neutral,8.31
3507,Study Sessions,Episode 34,116.98,Education,50.35,Sunday,Night,93.34,1.0,Positive,101.91
3508,Business Insights,Episode 38,92.42,Business,94.71,Friday,Night,43.46,1.0,Neutral,44.83512
3509,Current Affairs,Episode 77,55.8,News,83.68,Wednesday,Night,55.09,3.0,Neutral,24.36455
3510,Health Hour,Episode 97,85.55,Health,69.42,Thursday,Morning,31.61,3.0,Positive,48.62399
3511,Gadget Geek,Episode 96,48.3,Technology,59.52,Wednesday,Afternoon,69.32,0.0,Negative,32.72186
3512,Fitness First,Episode 57,117.67,Health,87.89,Saturday,Night,97.34,0.0,Negative,117.0
3513,Style Guide,Episode 36,5.83,Lifestyle,30.48,Sunday,Night,30.72,2.0,Positive,0.52761
3514,Crime Chronicles,Episode 69,108.98,True Crime,98.41,Thursday,Morning,69.73,1.0,Negative,101.56
3515,Fitness First,Episode 24,105.67,Health,24.5,Thursday,Evening,25.16,3.0,Positive,61.39132
3516,True Crime Stories,Episode 43,82.28,True Crime,37.93,Wednesday,Morning,43.04,1.0,Negative,53.6641
3517,Fashion Forward,Episode 68,85.13,Lifestyle,51.96,Monday,Afternoon,35.96,0.0,Positive,44.44087
3518,Laugh Line,Episode 36,63.5,Comedy,39.9,Friday,Afternoon,62.82,0.0,Positive,57.18034
3519,Tune Time,Episode 68,43.36,Music,59.79,Sunday,Evening,87.34,2.0,Neutral,28.92
3520,Sound Waves,Episode 13,31.31,Music,62.13,Saturday,Evening,41.4,2.0,Neutral,25.76685
3521,Tech Trends,Episode 5,63.97,Technology,93.22,Saturday,Evening,,2.0,Negative,53.80835
3522,Life Lessons,Episode 15,37.85,Lifestyle,76.7,Tuesday,Night,76.71,0.0,Positive,36.27324
3523,Style Guide,Episode 2,25.81,Lifestyle,76.42,Saturday,Morning,,2.0,Negative,8.98
3524,Humor Hub,Episode 43,46.12,Comedy,46.79,Thursday,Afternoon,78.87,2.0,Positive,31.03002
3525,Lifestyle Lounge,Episode 59,38.21,Lifestyle,35.42,Friday,Morning,84.0,2.0,Neutral,27.44526
3526,Game Day,Episode 48,,Sports,35.57,Sunday,Afternoon,,2.0,Neutral,61.45152
3527,Funny Folks,Episode 35,41.3,Comedy,51.32,Monday,Afternoon,,3.0,Negative,27.64669
3528,Global News,Episode 52,95.46,News,56.15,Wednesday,Night,,0.0,Positive,68.78639
3529,Tech Trends,Episode 68,116.42,Technology,40.73,Thursday,Afternoon,,2.0,Neutral,113.44651
3530,Criminal Minds,Episode 54,82.34,True Crime,59.6,Wednesday,Morning,63.89,1.0,Neutral,55.80125
3531,Melody Mix,Episode 26,44.34,Music,29.72,Monday,Morning,49.81,1.0,Neutral,37.63775
3532,Wellness Wave,Episode 28,,Health,63.81,Monday,Evening,98.86,2.0,Positive,90.44403
3533,Sport Spot,Episode 46,75.03,Sports,34.31,Tuesday,Afternoon,41.68,3.0,Positive,26.07722
3534,Tech Trends,Episode 36,6.75,Technology,33.08,Saturday,Night,,3.0,Neutral,0.42656
3535,Business Insights,Episode 9,73.76,Business,72.02,Friday,Evening,55.26,0.0,Negative,52.50268
3536,Joke Junction,Episode 18,32.53,Comedy,51.07,Wednesday,Night,90.82,3.0,Neutral,27.75141
3537,Finance Focus,Episode 29,77.16,Business,34.15,Sunday,Night,86.81,1.0,Neutral,48.39577
3538,Criminal Minds,Episode 91,49.5,True Crime,61.0,Tuesday,Afternoon,46.54,2.0,Negative,31.04943
3539,Tech Talks,Episode 62,,Technology,53.85,Tuesday,Morning,,2.0,Neutral,52.05251
3540,Lifestyle Lounge,Episode 18,44.83,Lifestyle,95.84,Tuesday,Afternoon,63.98,3.0,Negative,30.27
3541,Lifestyle Lounge,Episode 23,20.34,Lifestyle,49.76,Sunday,Afternoon,,2.0,Positive,6.33
3542,Home & Living,Episode 93,37.28,Lifestyle,50.03,Tuesday,Morning,85.98,0.0,Negative,36.13898
3543,Fitness First,Episode 21,49.43,Health,70.83,Monday,Night,,1.0,Negative,44.9172
3544,Detective Diaries,Episode 96,,True Crime,64.21,Tuesday,Night,32.63,3.0,Positive,13.20527
3545,True Crime Stories,Episode 79,,True Crime,68.3,Sunday,Evening,,0.0,Positive,36.29789
3546,Study Sessions,Episode 38,19.04,Education,32.62,Tuesday,Night,15.79,2.0,Positive,10.17421
3547,Money Matters,Episode 73,13.55,Business,75.76,Friday,Evening,24.83,1.0,Negative,6.0717
3548,Mystery Matters,Episode 79,53.58,True Crime,58.7,Tuesday,Night,97.45,0.0,Negative,36.31083
3549,Learning Lab,Episode 83,92.78,Education,46.44,Saturday,Evening,10.83,0.0,Negative,54.54808
3550,Music Matters,Episode 70,23.86,Music,35.79,Saturday,Evening,98.14,1.0,Positive,11.23994
3551,Global News,Episode 100,,News,83.01,Saturday,Afternoon,7.01,3.0,Neutral,81.48576
3552,Money Matters,Episode 6,40.73,Business,32.05,Wednesday,Night,5.91,3.0,Positive,39.42093
3553,Tech Trends,Episode 11,108.92,Technology,29.44,Thursday,Evening,36.05,2.0,Positive,92.2
3554,Educational Nuggets,Episode 33,64.1,Education,86.72,Friday,Evening,37.43,1.0,Positive,45.02929
3555,Laugh Line,Episode 73,109.56,Comedy,29.33,Tuesday,Afternoon,63.97,3.0,Positive,73.35516
3556,Crime Chronicles,Episode 79,118.15,True Crime,87.71,Tuesday,Morning,52.19,0.0,Negative,80.92532
3557,Innovators,Episode 53,7.38,Technology,47.33,Sunday,Evening,99.78,0.0,Positive,4.22865
3558,Home & Living,Episode 56,50.72,Lifestyle,54.18,Wednesday,Afternoon,50.83,0.0,Negative,42.80444
3559,Sound Waves,Episode 31,113.9,Music,35.66,Saturday,Night,13.18,3.0,Negative,91.27754
3560,Daily Digest,Episode 30,29.81,News,26.32,Tuesday,Evening,,3.0,Neutral,11.49
3561,Sports Weekly,Episode 81,106.52,Sports,58.62,Monday,Afternoon,67.33,3.0,Positive,51.91303
3562,Fitness First,Episode 87,69.61,Health,27.44,Wednesday,Afternoon,73.34,1.0,Neutral,54.90065
3563,Funny Folks,Episode 72,109.67,Comedy,88.17,Monday,Night,78.63,0.0,Neutral,79.27841
3564,Market Masters,Episode 88,113.99,Business,67.76,Tuesday,Evening,90.21,3.0,Neutral,107.88
3565,Healthy Living,Episode 33,109.45,Health,87.03,Friday,Evening,24.76,0.0,Positive,98.0679
3566,Athlete's Arena,Episode 100,85.8,Sports,60.17,Sunday,Morning,66.51,3.0,Negative,57.83338
3567,Laugh Line,Episode 85,38.14,Comedy,30.14,Thursday,Morning,,3.0,Neutral,19.19825
3568,Criminal Minds,Episode 97,94.04,True Crime,82.03,Monday,Night,67.03,3.0,Neutral,52.70807
3569,Health Hour,Episode 98,33.94,Health,56.91,Saturday,Afternoon,62.7,2.0,Negative,28.04671
3570,Money Matters,Episode 66,114.9,Business,61.11,Tuesday,Night,,3.0,Positive,88.18031
3571,Crime Chronicles,Episode 30,36.77,True Crime,31.77,Friday,Evening,66.2,3.0,Positive,12.86
3572,Finance Focus,Episode 48,6.6,Business,34.29,Sunday,Evening,,3.0,Negative,0.0
3573,News Roundup,Episode 42,,News,54.66,Tuesday,Morning,9.99,2.0,Negative,37.56918
3574,Sports Central,Episode 76,49.85,Sports,38.68,Tuesday,Evening,,0.0,Positive,46.0564
3575,Athlete's Arena,Episode 94,60.47,Sports,52.82,Thursday,Evening,70.45,0.0,Neutral,25.03708
3576,Educational Nuggets,Episode 8,112.42,Education,55.86,Tuesday,Morning,,1.0,Negative,68.58347
3577,Humor Hub,Episode 2,23.52,Comedy,91.36,Sunday,Afternoon,2.8,2.0,Positive,12.23436
3578,Game Day,Episode 61,112.7,Sports,91.23,Thursday,Night,70.23,0.0,Negative,111.4937
3579,Melody Mix,Episode 75,,Music,77.22,Monday,Afternoon,98.74,1.0,Neutral,53.30477
3580,Daily Digest,Episode 71,94.42,News,29.71,Wednesday,Night,81.32,1.0,Neutral,75.60491
3581,Tech Talks,Episode 75,45.77,Technology,28.77,Wednesday,Night,,0.0,Positive,24.70262
3582,Wellness Wave,Episode 21,,Health,54.71,Friday,Afternoon,,2.0,Positive,44.4
3583,Fashion Forward,Episode 8,49.58,Lifestyle,74.94,Sunday,Evening,,1.0,Positive,28.81907
3584,Daily Digest,Episode 47,,News,66.83,Monday,Afternoon,83.79,1.0,Negative,25.57528
3585,Gadget Geek,Episode 8,68.1,Technology,78.81,Saturday,Night,,1.0,Negative,48.63
3586,Sports Central,Episode 51,51.23,Sports,49.85,Monday,Night,56.27,1.0,Negative,36.56701
3587,Business Briefs,Episode 96,51.93,Business,99.05,Wednesday,Morning,46.57,0.0,Neutral,48.86213
3588,Business Insights,Episode 8,24.27,Business,50.19,Monday,Night,82.18,0.0,Positive,20.28244
3589,Brain Boost,Episode 75,118.62,Education,95.78,Monday,Night,40.72,1.0,Positive,69.0766
3590,Tech Trends,Episode 51,7.62,Technology,33.96,Sunday,Morning,,1.0,Neutral,7.62
3591,Melody Mix,Episode 26,86.87,Music,56.23,Tuesday,Night,51.47,0.0,Negative,85.03666
3592,Business Insights,Episode 60,59.35,Business,35.39,Friday,Afternoon,84.02,3.0,Neutral,41.51187
3593,Humor Hub,Episode 58,57.52,Comedy,59.46,Wednesday,Evening,62.51,2.0,Positive,30.88201
3594,Sport Spot,Episode 64,71.58,Sports,62.49,Friday,Afternoon,4.47,3.0,Positive,28.91914
3595,Sports Central,Episode 90,26.52,Sports,24.52,Sunday,Morning,54.55,3.0,Positive,8.89112
3596,Life Lessons,Episode 6,62.92,Lifestyle,75.26,Saturday,Morning,76.39,2.0,Positive,40.6208
3597,Sport Spot,Episode 11,84.08,Sports,26.17,Monday,Night,92.72,1.0,Negative,70.74188
3598,Mind & Body,Episode 27,68.56,Health,48.18,Monday,Afternoon,,3.0,Positive,58.18565
3599,Tune Time,Episode 65,119.39,Music,81.08,Sunday,Evening,90.97,0.0,Neutral,119.11
3600,Fashion Forward,Episode 19,94.64,Lifestyle,26.61,Wednesday,Afternoon,,1.0,Positive,94.59155
3601,Global News,Episode 71,64.59,News,26.84,Wednesday,Afternoon,71.24,3.0,Positive,45.77
3602,Business Briefs,Episode 47,104.99,Business,47.65,Tuesday,Night,,1.0,Positive,87.4986
3603,Mystery Matters,Episode 76,96.38,True Crime,72.78,Thursday,Night,54.78,0.0,Positive,91.62653
3604,Sports Weekly,Episode 2,20.14,Sports,91.95,Sunday,Night,44.53,2.0,Neutral,4.66166
3605,Wellness Wave,Episode 48,81.46,Health,75.92,Sunday,Afternoon,,2.0,Negative,69.03493
3606,Tune Time,Episode 91,,Music,83.84,Tuesday,Night,,2.0,Negative,37.63196
3607,Comedy Corner,Episode 56,61.15,Comedy,20.09,Wednesday,Morning,0.04,1.0,Neutral,32.02599
3608,Lifestyle Lounge,Episode 34,100.38,Lifestyle,24.19,Wednesday,Night,,1.0,Neutral,89.63072
3609,Wellness Wave,Episode 9,100.87,Health,44.69,Tuesday,Night,46.41,0.0,Neutral,83.36329
3610,Criminal Minds,Episode 12,15.24,True Crime,45.39,Friday,Night,14.19,0.0,Positive,0.73034
3611,World Watch,Episode 99,16.2,News,73.47,Tuesday,Morning,,0.0,Neutral,3.11659
3612,Tech Trends,Episode 37,99.65,Technology,47.95,Sunday,Evening,21.91,0.0,Negative,51.73613
3613,Innovators,Episode 10,101.46,Technology,92.45,Thursday,Afternoon,81.18,2.0,Negative,82.75396
3614,Fashion Forward,Episode 57,72.47,Lifestyle,37.16,Wednesday,Evening,97.67,1.0,Neutral,54.44526
3615,Tech Trends,Episode 71,71.82,Technology,47.68,Sunday,Morning,40.88,3.0,Neutral,66.12082
3616,Market Masters,Episode 61,48.85,Business,69.31,Tuesday,Night,,0.0,Neutral,31.93537
3617,News Roundup,Episode 22,94.3,News,73.59,Monday,Evening,65.34,0.0,Neutral,54.26905
3618,Health Hour,Episode 67,54.4680016,Health,21.14,Thursday,Morning,,2.0,Neutral,54.468
3619,Detective Diaries,Episode 29,46.82,True Crime,20.57,Saturday,Night,38.63,2.0,Negative,28.93679
3620,Tech Trends,Episode 87,61.08,Technology,53.24,Sunday,Night,47.36,3.0,Positive,33.83649
3621,Style Guide,Episode 72,98.4,Lifestyle,26.4,Friday,Afternoon,70.73,1.0,Neutral,60.19686
3622,News Roundup,Episode 48,27.23,News,70.62,Wednesday,Evening,,3.0,Neutral,22.68908
3623,Humor Hub,Episode 78,96.3,Comedy,28.19,Wednesday,Evening,29.85,0.0,Positive,78.76899
3624,Athlete's Arena,Episode 4,74.14,Sports,97.91,Monday,Night,4.52,3.0,Neutral,29.10451
3625,Comedy Corner,Episode 36,81.04,Comedy,88.25,Tuesday,Evening,56.95,0.0,Positive,72.29441
3626,Healthy Living,Episode 13,91.16,Health,28.64,Monday,Afternoon,,3.0,Neutral,64.6417
3627,Melody Mix,Episode 29,27.46,Music,54.21,Thursday,Morning,53.92,1.0,Positive,24.96416
3628,Tech Trends,Episode 71,,Technology,29.33,Saturday,Afternoon,46.31,2.0,Negative,25.25449
3629,Tech Trends,Episode 96,88.83,Technology,92.97,Tuesday,Night,,2.0,Positive,63.83365
3630,Digital Digest,Episode 19,25.83,Technology,36.5,Friday,Night,,3.0,Positive,11.33718
3631,Joke Junction,Episode 78,28.37,Comedy,24.18,Friday,Evening,78.57,1.0,Neutral,16.70788
3632,Tech Trends,Episode 16,98.75,Technology,41.11,Tuesday,Afternoon,37.94,0.0,Negative,70.23698
3633,Sport Spot,Episode 64,34.43,Sports,99.67,Monday,Afternoon,25.81,0.0,Positive,22.51925
3634,Life Lessons,Episode 95,116.7,Lifestyle,59.78,Monday,Morning,41.81,0.0,Positive,83.23204
3635,Money Matters,Episode 36,91.74,Business,28.39,Saturday,Afternoon,52.25,1.0,Negative,81.71483
3636,Educational Nuggets,Episode 54,106.66,Education,50.22,Sunday,Night,,2.0,Positive,103.04217
3637,Sports Central,Episode 46,31.31,Sports,97.83,Friday,Night,,2.0,Neutral,30.94893
3638,Fitness First,Episode 68,105.13,Health,94.42,Friday,Morning,54.24,0.0,Neutral,80.33273
3639,Funny Folks,Episode 35,40.24,Comedy,52.56,Saturday,Evening,44.65,3.0,Positive,31.70324
3640,News Roundup,Episode 6,39.18,News,79.98,Saturday,Morning,14.87,3.0,Negative,21.33711
3641,Sports Central,Episode 96,64.18,Sports,69.83,Sunday,Afternoon,3.73,2.0,Positive,40.91037
3642,Healthy Living,Episode 3,84.81,Health,61.4,Sunday,Evening,64.93,0.0,Negative,58.90117
3643,Game Day,Episode 66,87.66,Sports,22.73,Thursday,Night,14.08,1.0,Neutral,55.53372
3644,Digital Digest,Episode 62,30.57,Technology,83.36,Friday,Morning,85.59,1.0,Positive,18.22
3645,Study Sessions,Episode 66,112.9,Education,92.98,Wednesday,Evening,28.81,1.0,Neutral,79.52173
3646,Finance Focus,Episode 22,98.85,Business,43.85,Monday,Evening,,1.0,Negative,69.63444
3647,Health Hour,Episode 48,6.6,Health,44.57,Friday,Evening,,0.0,Negative,0.0
3648,Style Guide,Episode 99,69.16,Lifestyle,23.04,Monday,Night,94.14,0.0,Positive,35.58731
3649,News Roundup,Episode 2,22.31,News,58.74,Sunday,Afternoon,,0.0,Neutral,6.25254
3650,Music Matters,Episode 10,84.92,Music,67.18,Monday,Morning,37.21,2.0,Negative,41.58538
3651,Lifestyle Lounge,Episode 95,111.39,Lifestyle,67.24,Monday,Morning,39.3,3.0,Negative,82.95248
3652,Current Affairs,Episode 98,11.54,News,56.12,Monday,Morning,89.69,1.0,Negative,3.31613
3653,Daily Digest,Episode 3,72.32,News,58.1,Saturday,Afternoon,58.86,0.0,Negative,49.07714
3654,Global News,Episode 43,,News,46.47,Saturday,Morning,43.87,1.0,Positive,0.0296
3655,Global News,Episode 17,79.61,News,32.51,Saturday,Afternoon,96.41,2.0,Negative,45.49701
3656,Game Day,Episode 12,86.23,Sports,40.59,Tuesday,Morning,2.23,1.0,Neutral,62.31579
3657,Educational Nuggets,Episode 6,,Education,91.79,Saturday,Night,98.71,1.0,Positive,71.23802
3658,Tech Trends,Episode 22,98.57,Technology,27.4,Sunday,Morning,60.68,2.0,Neutral,80.06535
3659,Style Guide,Episode 72,35.24,Lifestyle,57.21,Friday,Afternoon,42.63,1.0,Negative,32.2265
3660,Game Day,Episode 53,116.3,Sports,93.4,Wednesday,Afternoon,71.84,1.0,Positive,77.80634
3661,Finance Focus,Episode 76,70.49,Business,32.9,Wednesday,Morning,29.54,1.0,Neutral,52.7188
3662,Lifestyle Lounge,Episode 26,57.83,Lifestyle,25.28,Sunday,Night,54.51,2.0,Neutral,54.31043
3663,Sport Spot,Episode 96,18.08,Sports,65.56,Monday,Morning,32.15,2.0,Positive,11.40642
3664,Sports Central,Episode 13,62.31,Sports,22.56,Monday,Morning,2.28,2.0,Negative,43.36639
3665,Fitness First,Episode 14,,Health,38.72,Thursday,Morning,85.04,1.0,Neutral,89.25356
3666,Brain Boost,Episode 2,18.82,Education,53.28,Friday,Afternoon,,3.0,Neutral,15.38218
3667,World Watch,Episode 35,82.99,News,82.5,Saturday,Afternoon,3.5,2.0,Neutral,64.74157
3668,Fashion Forward,Episode 10,,Lifestyle,50.12,Sunday,Night,71.64,1.0,Negative,26.96262
3669,Study Sessions,Episode 81,56.42,Education,46.36,Monday,Afternoon,,1.0,Negative,43.68019
3670,Tech Talks,Episode 45,,Technology,52.53,Tuesday,Evening,83.13,1.0,Neutral,33.9636
3671,Fitness First,Episode 70,,Health,31.08,Wednesday,Night,,0.0,Negative,44.15505
3672,Criminal Minds,Episode 31,31.97,True Crime,28.39,Sunday,Morning,,3.0,Neutral,16.39338
3673,Innovators,Episode 50,49.07,Technology,92.83,Saturday,Morning,21.69,0.0,Positive,34.50723
3674,Learning Lab,Episode 51,,Education,85.54,Saturday,Afternoon,,1.0,Neutral,81.96736
3675,Health Hour,Episode 24,21.5,Health,54.19,Monday,Night,,1.0,Positive,10.85871
3676,Home & Living,Episode 97,35.91,Lifestyle,37.94,Monday,Night,62.75,1.0,Positive,21.64182
3677,Sport Spot,Episode 24,68.37,Sports,81.17,Thursday,Afternoon,53.83,2.0,Negative,43.04352
3678,Innovators,Episode 48,102.05,Technology,80.24,Friday,Morning,,1.0,Neutral,60.28703
3679,Funny Folks,Episode 91,9.03,Comedy,36.82,Friday,Night,8.7,1.0,Negative,7.19873
